sentence,label
Premiera książki przyciągnęła czytelników.,KULTURA
Organizacja wspiera różnorodność biologiczną.,EKOLOGIA
Szczepienia przeciwko COVID-19 ruszyły.,MEDYCYNA
Badacze odkryli metodę leczenia choroby.,NAUKA
Służby przeprowadziły akcję antyterrorystyczną.,BEZPIECZEŃSTWO
Ciężarówka przewróciła się na autostradzie.,WYPADEK
Formularz został nieprawidłowo wypełniony.,ADMINISTRACJA
Fontanna jest w centrum parku.,BRAK_ZDARZENIA
Krzesło ma miękkie oparcie.,BRAK_ZDARZENIA
Fundacja finansuje stypendia dla uczniów.,SPOŁECZEŃSTWO
Statek uderzył w nabrzeże w porcie.,WYPADEK
Pikieta trwała przez całą noc.,PROTESTY
Firma ogłosiła bankructwo.,EKONOMIA
Koalicja rządowa rozpadła się w parlamencie.,POLITYKA
Inspekcja wykryła nieprawidłowości.,ADMINISTRACJA
Dzik wybiegł na drogę.,WYPADEK
Strajk sparaliżował transport publiczny.,PROTESTY
Wilk pojawił się w pobliżu wioski.,BEZPIECZEŃSTWO
Tablica informacyjna wisi na ścianie.,BRAK_ZDARZENIA
Organizacja prowadzi linię wsparcia.,SPOŁECZEŃSTWO
Firma rozbudowuje terminal lotniska.,INFRASTRUKTURA
Sędzia zawiesił wyrok warunkowo.,PRAWO
Ratownicy przetransportowali pacjenta.,MEDYCYNA
Ulewa spowodowała powódź błyskawiczną.,KLĘSKA_ŻYWIOŁOWA
W sklepie jest muzyka w tle.,BRAK_ZDARZENIA
Społeczność lokalna remontuje plac zabaw.,SPOŁECZEŃSTWO
Naukowcy stworzyli nowy materiał.,NAUKA
Prawnik złożył apelację od wyroku.,PRAWO
Restauracja serwuje lunch.,BRAK_ZDARZENIA
Pole jest pokryte śniegiem.,BRAK_ZDARZENIA
Sejm uchwalił nową ustawę.,POLITYKA
Tramwaj wypadł z szyn w centrum miasta.,WYPADEK
Proces sądowy trwał trzy lata.,PRAWO
Spadający konar drzewa uszkodził samochód.,WYPADEK
Tsunami uderzyło w brzeg oceanu.,KLĘSKA_ŻYWIOŁOWA
Bezrobocie wzrosło o dwa procent.,EKONOMIA
Elektrownia zwiększyła produkcję energii.,EKONOMIA
Lawina zasypała schronisko górskie.,KLĘSKA_ŻYWIOŁOWA
Minister zapowiedział reformę edukacji.,POLITYKA
Producent zaprezentował elektryczny samochód.,TECHNOLOGIA
Firma uruchomiła sieć 5G w mieście.,TECHNOLOGIA
Klinika wdrożyła nowy protokół leczenia.,MEDYCYNA
Sąd orzekł rozwód małżonków.,PRAWO
Agencja współpracuje z zagranicą.,BEZPIECZEŃSTWO
Sędzia odgwizdał kontrowersyjny faul.,SPORT
Ochotnicy posprzątali plażę.,SPOŁECZEŃSTWO
Firma technologiczna otworzyła centrum R&D.,TECHNOLOGIA
Ziemia osunęła się zagrażając zabudowaniom.,KLĘSKA_ŻYWIOŁOWA
Minister zdrowia ogłosił reformę systemu.,POLITYKA
Rafineria przetwarza ropę naftową.,EKONOMIA
Gmina rozbudowuje kanalizację.,INFRASTRUKTURA
Wojewoda rozwiązał radę gminy.,ADMINISTRACJA
Protest rolników przed ministerstwem.,PROTESTY
Sztuczna inteligencja przewyższyła człowieka.,NAUKA
Trybunał orzekł o niezgodności ustawy.,PRAWO
Terrorysta zdetonował bombę w budynku.,PRZESTĘPSTWO
Prezydent miasta ogłosił nowy program.,ADMINISTRACJA
Wolontariusze odwiedzili szpital dziecięcy.,SPOŁECZEŃSTWO
Kierowca zjechał na czerwonym świetle.,WYPADEK
Ogień zniszczył warsztat mechaniczny.,POŻAR
Szpital przyjął ofiary katastrofy.,MEDYCYNA
Rząd ogłosił nowy program społeczny.,POLITYKA
Firma zainwestowała w rozwój AI.,TECHNOLOGIA
Lekarz wykrył chorobę we wczesnym stadium.,MEDYCYNA
Szkoła współpracuje z przedsiębiorstwami.,EDUKACJA
Uniwersytet organizuje wykłady otwarte.,EDUKACJA
Związki zawodowe ogłosiły strajk.,PROTESTY
Firma opracowała technologię blockchain.,TECHNOLOGIA
Ogień strawił restaurację w centrum.,POŻAR
Posłowie debatowali nad reformą sądownictwa.,POLITYKA
Urzędnik wydał pozwolenie na budowę.,ADMINISTRACJA
Cyklon przeszedł przez wyspę.,KLĘSKA_ŻYWIOŁOWA
Firma naruszyła przepisy środowiskowe.,PRAWO
Zwierzęta zagrożone wyginięciem.,EKOLOGIA
Plastik zanieczyszcza oceany.,EKOLOGIA
Kopalnia węgla zostanie zamknięta.,EKONOMIA
Lekkoatleta pobił rekord Polski.,SPORT
Organizacja prowadzi program integracyjny.,SPOŁECZEŃSTWO
Giełda zamknęła się na plusie.,EKONOMIA
Festiwal filmowy przyznał nagrody.,KULTURA
Deszcz spowodował podtopienia.,KLĘSKA_ŻYWIOŁOWA
Napastnik pobił ochroniarza przed klubem.,PRZESTĘPSTWO
Uniwersytet otworzył nowy wydział.,EDUKACJA
Podpalacz wzniecił ogień w szkole.,PRZESTĘPSTWO
Gmina modernizuje ulice osiedlowe.,INFRASTRUKTURA
W parku są ławki do siedzenia.,BRAK_ZDARZENIA
Służby specjalne udaremniły zamach.,BEZPIECZEŃSTWO
Dwa pojazdy zderzyły się na skrzyżowaniu.,WYPADEK
Wojewoda wydał zarządzenie.,ADMINISTRACJA
Przedsiębiorstwo podpisało kontrakt eksportowy.,EKONOMIA
Nauczyciel otrzymał nagrodę za osiągnięcia.,EDUKACJA
Minister podał się do dymisji po skandalu.,POLITYKA
Na biurku leży długopis.,BRAK_ZDARZENIA
Aktor otrzymał prestiżową nagrodę.,KULTURA
Powódź zalała okoliczne wioski.,KLĘSKA_ŻYWIOŁOWA
Firma ogłosiła zwolnienia grupowe pracowników.,EKONOMIA
Wolontariusze odwiedzili dom opieki.,SPOŁECZEŃSTWO
Ogień objął elektrownię.,POŻAR
Eksperci odkryli starożytne artefakty.,NAUKA
Programiści wydali aktualizację oprogramowania.,TECHNOLOGIA
Inwestor buduje park technologiczny.,INFRASTRUKTURA
Rada miejska przyjęła uchwałę.,POLITYKA
Gmina przyjęła budżet na nowy rok.,ADMINISTRACJA
Malarz otrzymał prestiżowe wyróżnienie.,KULTURA
Badacze odkryli nowe właściwości materiału.,NAUKA
Prezydent miasta podpisał porozumienie.,ADMINISTRACJA
Trybunał rozpatrzył skargę konstytucyjną.,PRAWO
W sklepie są świeże warzywa.,BRAK_ZDARZENIA
Władze otwierają stadion sportowy.,INFRASTRUKTURA
Erupcja wulkanu zagrażała okolicznym miastom.,KLĘSKA_ŻYWIOŁOWA
Eksport wzrósł o 15 procent.,EKONOMIA
Tornado przeszło przez miasto.,KLĘSKA_ŻYWIOŁOWA
Nauczyciele wprowadzili nową metodykę.,EDUKACJA
Minister spraw zagranicznych odbył wizytę.,POLITYKA
Dokumenty zostały skierowane do archiwum.,ADMINISTRACJA
Nauczyciel prowadzi innowacyjne zajęcia.,EDUKACJA
W ogrodzie rosną kwiaty.,BRAK_ZDARZENIA
Fundacja przekazała dary szpitalowi.,SPOŁECZEŃSTWO
Uczeni znaleźli dowody na istnienie planety.,NAUKA
Karetka zderzyła się z samochodem osobowym.,WYPADEK
Oszust wyłudził dane karty kredytowej.,PRZESTĘPSTWO
Inwestor buduje hotel na wybrzeżu.,INFRASTRUKTURA
Szkoła zakupiła nowoczesny sprzęt.,EDUKACJA
Rząd przyjął strategię rozwoju kraju.,POLITYKA
W sklepie można płacić kartą.,BRAK_ZDARZENIA
Smartfon otrzymał przełomową funkcję.,TECHNOLOGIA
Lekarz odkrył przyczynę schorzenia.,MEDYCYNA
Strajkujący zablokowali magistralę.,PROTESTY
Burmistrz otworzył nową inwestycję.,ADMINISTRACJA
Szpital przeprowadził badania przesiewowe.,MEDYCYNA
Spektakl baletowy zachwycił publiczność.,KULTURA
Sąd rozpatrzył sprawę o zniesławienie.,PRAWO
Programiści stworzyli platform do e-commerce.,TECHNOLOGIA
Pociąg wykoleił się na zakręcie.,WYPADEK
Rolnicy zablokowali główną drogę.,PROTESTY
Uniwersytet organizuje drzwi otwarte.,EDUKACJA
Rada gminy przyjęła nowe przepisy.,ADMINISTRACJA
Inwestorzy wycofali kapitał z rynku.,EKONOMIA
Personel medyczny rozpoczął strajk.,PROTESTY
Inflacja wzrosła do najwyższego poziomu.,EKONOMIA
Urząd wprowadził elektroniczne usługi.,ADMINISTRACJA
Park narodowy chroni rzadkie gatunki.,EKOLOGIA
Policja rozpędziła nielegalną demonstrację.,PROTESTY
Wandale zniszczyli witrynę sklepową.,PRZESTĘPSTWO
Aktor zagrał główną rolę w filmie.,KULTURA
Agencja wykryła zagrożenie terrorystyczne.,BEZPIECZEŃSTWO
Uczeni odkryli przyczynę zjawiska.,NAUKA
Rabuś napadł na bank z bronią w ręku.,PRZESTĘPSTWO
Pożar zniszczył hotel przy plaży.,POŻAR
Ratownicy medyczni udzielili pierwszej pomocy.,MEDYCYNA
Sąd nakazał wypłatę odszkodowania.,PRAWO
Auto zderzyło się z ciężarówką czołowo.,WYPADEK
Trybunał uchylił wcześniejszy wyrok.,PRAWO
Miasto modernizuje system odwodnienia.,INFRASTRUKTURA
Działacze chronią mokradła.,EKOLOGIA
Spółka ogłosiła upadłość po stratach.,EKONOMIA
Bank wprowadził nową ofertę kredytową.,EKONOMIA
Strajk kierowców sparaliżował transport.,PROTESTY
Agencja współpracuje z NATO.,BEZPIECZEŃSTWO
Aktor otrzymał nagrodę za rolę.,KULTURA
Motocyklista stracił panowanie nad pojazdem.,WYPADEK
Rada gminy przyjęła program rozwoju.,ADMINISTRACJA
Chirurg wykonał operację mózgu.,MEDYCYNA
Rząd zaproponował nowe prawo podatkowe.,POLITYKA
Demonstracja przeciwko przemocy.,PROTESTY
Inflacja przekroczyła dziesięć procent.,EKONOMIA
Kandydat rozpoczął kampanię wyborczą.,POLITYKA
Płomienie zniszczyły stodołę z sianem.,POŻAR
Pożar wybuchł w bloku mieszkalnym.,POŻAR
Rząd podpisał umowę międzynarodową.,POLITYKA
Infrastruktura wymaga modernizacji.,INFRASTRUKTURA
Prawnik reprezentował oskarżonego.,PRAWO
Kolarz wygrał wyścig Tour de France.,SPORT
Na drzewie siedzi ptak.,BRAK_ZDARZENIA
Trybunał wydał wyrok.,PRAWO
Laboratorium przeprowadziło przełomowe badania.,NAUKA
Erupcja wulkanu wyrzuciła popiół.,KLĘSKA_ŻYWIOŁOWA
Startup otrzymał finansowanie na rozwój.,TECHNOLOGIA
Naukowcy zidentyfikowali nowe cząstki elementarne.,NAUKA
Morze jest spokojne dziś.,BRAK_ZDARZENIA
Rolnicy protestują przeciw importowi.,PROTESTY
Ogień objął całe piętro biurowca.,POŻAR
Burmistrz inaugurował nową inwestycję.,POLITYKA
Szpital przyjął ofiary wypadku.,MEDYCYNA
Władze modernizują dworzec autobusowy.,INFRASTRUKTURA
Pies śpi na podwórku.,BRAK_ZDARZENIA
W oknie wisi biała firanka.,BRAK_ZDARZENIA
Urząd wydał decyzję administracyjną.,ADMINISTRACJA
Autobus zjechał z drogi do rowu.,WYPADEK
Demonstracja przerodziła się w zamieszki.,PROTESTY
Kawiarnia serwuje kawę i herbatę.,BRAK_ZDARZENIA
Linia metra została przedłużona.,INFRASTRUKTURA
Wojsko uczestniczy w misji pokojowej.,BEZPIECZEŃSTWO
Wystawa fotografii przyciągnęła tłumy.,KULTURA
Gmina zmodernizowała oświetlenie ulic.,ADMINISTRACJA
Ulica jest wyłożona kostką brukową.,BRAK_ZDARZENIA
Naukowcy odkryli nowy gatunek.,NAUKA
Egzamin maturalny został zdany.,EDUKACJA
Kapelusz wisi na wieszaku.,BRAK_ZDARZENIA
Muzyk wystąpił w prestiżowej sali koncertowej.,KULTURA
Płomienie zniszczyły las sosnowy.,POŻAR
Uczeń reprezentował szkołę w konkursie.,EDUKACJA
Instytut zakupił teleskop kosmiczny.,NAUKA
Reforma edukacji wywołała kontrowersje.,POLITYKA
Teatr odwołał przedstawienie.,KULTURA
Agencja ostrzegła przed cyberatakiem.,BEZPIECZEŃSTWO
Artysta otrzymał nagrodę za całokształt twórczości.,KULTURA
Spektakl teatralny odniósł sukces.,KULTURA
Elektryk naprawił instalację.,ADMINISTRACJA
Kierowca zjechał do rowu unikając zwierzęcia.,WYPADEK
Sejm przyjął uchwałę o referendum.,POLITYKA
Rzeka płynie przez centrum miasta.,BRAK_ZDARZENIA
Straż graniczna wzmocniła kontrole.,BEZPIECZEŃSTWO
Pociąg wykoleił się w tunelu.,WYPADEK
Samorząd modernizuje drogi.,ADMINISTRACJA
Górnicy rozpoczęli strajk w kopalni.,PROTESTY
Ekologowie monitorują jakość powietrza.,EKOLOGIA
Prezydent odwołał ambasadora.,POLITYKA
Nauczyciele zorganizowali wycieczkę edukacyjną.,EDUKACJA
Burza piaskowa ogarnęła pustynię.,KLĘSKA_ŻYWIOŁOWA
Firma wprowadziła sieć 5G.,TECHNOLOGIA
Wojewoda rozwiązał komisję.,ADMINISTRACJA
Bank centralny podniósł stopy procentowe.,EKONOMIA
Stół jest wykonany z drewna.,BRAK_ZDARZENIA
Ekologowie protestują przeciwko zabudowie.,EKOLOGIA
Straż graniczna zatrzymała przemytników.,BEZPIECZEŃSTWO
Ulewa spowodowała podtopienia.,KLĘSKA_ŻYWIOŁOWA
Płomienie zniszczyły las.,POŻAR
Wichura powaliła drzewa w lesie.,KLĘSKA_ŻYWIOŁOWA
Akcja społeczna zgromadziła tysiące uczestników.,SPOŁECZEŃSTWO
Protest studentów przeciw opłatom.,PROTESTY
Sklep jest otwarty od rana.,BRAK_ZDARZENIA
Przestępcy porwali biznesmen dla okupu.,PRZESTĘPSTWO
Giełda zanotowała spadki.,EKONOMIA
Susza dotknęła region rolniczy.,KLĘSKA_ŻYWIOŁOWA
Opozycja skrytykowała działania rządu.,POLITYKA
Auto wpadło do kanału.,WYPADEK
Demonstracja przeszła przez centrum miasta.,PROTESTY
Szpital uruchomił program przeszczepów.,MEDYCYNA
Silny wiatr powalił drzewa.,KLĘSKA_ŻYWIOŁOWA
Wolontariusze sprzątali plaże.,SPOŁECZEŃSTWO
Urząd wojewódzki wydał pozwolenie.,ADMINISTRACJA
Chirurg przeszczepił serce pacjentowi.,MEDYCYNA
Manifestacja przeciw podwyżkom cen.,PROTESTY
Wojsko testuje nową broń.,BEZPIECZEŃSTWO
Miasto tworzy nowy park narodowy.,EKOLOGIA
Autor książki spotkał się z czytelnikami.,KULTURA
Malarz zaprezentował swoje dzieła.,KULTURA
Nauczyciel prowadzi warsztaty naukowe.,EDUKACJA
Strajk sparaliżował przemysł.,PROTESTY
Oszuści wyłudzili kredyty na fałszywe dane.,PRZESTĘPSTWO
Organizacja wspiera ofiary przemocy.,SPOŁECZEŃSTWO
Sprawca włamał się do samochodu na parkingu.,PRZESTĘPSTWO
Miasto remontuje most nad rzeką.,INFRASTRUKTURA
Prezydent miasta podpisał umowę.,ADMINISTRACJA
Fizyk otrzymał Nagrodę Nobla.,NAUKA
Telefon leży na ładowarce.,BRAK_ZDARZENIA
Wystawa fotografii trwa do końca miesiąca.,KULTURA
Organizacja ratuje ptaki z wycieku ropy.,EKOLOGIA
W kuchni stoi kuchenka gazowa.,BRAK_ZDARZENIA
Kierowca stracił przytomność za kierownicą.,WYPADEK
Sąd nakazał areszt tymczasowy.,PRAWO
Pracownicy ochrony zdrowia strajkują.,PROTESTY
Płomienie strawiły drewniany most.,POŻAR
Faktura za energię wzrosła.,EKONOMIA
Sąd skazał oskarżonego na 10 lat więzienia.,PRAWO
Uniwersytet przyjął zagranicznych wykładowców.,EDUKACJA
Samolot rozbił się podczas lądowania.,WYPADEK
Cyklon tropikalny uderzył w wyspę.,KLĘSKA_ŻYWIOŁOWA
Uniwersytet otwiera nową specjalizację.,EDUKACJA
Naukowcy obserwowali nowe zjawisko astronomiczne.,NAUKA
Naukowcy opublikowali artykuł w Nature.,NAUKA
Gmina zatwierdzone plan inwestycyjny.,ADMINISTRACJA
Koncern kupił startup za miliardy.,TECHNOLOGIA
Rząd przyjął budżet na przyszły rok.,POLITYKA
Siatkarz zdobył mistrzostwo świata.,SPORT
Miasto tworzy rezerwat przyrody.,EKOLOGIA
Protest klimatyczny zgromadził aktywistów.,PROTESTY
Minister przedstawił plan gospodarczy.,POLITYKA
Budynek ma dziesięć pięter.,BRAK_ZDARZENIA
Chirurg wykonał przełomową operację.,MEDYCYNA
Wojsko patroluje granicę kraju.,BEZPIECZEŃSTWO
Budynek ma parking podziemny.,BRAK_ZDARZENIA
Bank podwyższył stopy procentowe.,EKONOMIA
Temperatura wynosi dwadzieścia stopni.,BRAK_ZDARZENIA
Badacze opracowali szczepionkę na wirusa.,NAUKA
W mieście jest wiele sklepów.,BRAK_ZDARZENIA
Śmieci zalegają na ulicach.,ADMINISTRACJA
Naukowcy odkryli nowy gatunek zwierzęcia.,NAUKA
Okulary leżą na stoliku.,BRAK_ZDARZENIA
Kontrwywiad monitoruje zagrożenia.,BEZPIECZEŃSTWO
Rada powiatu przyjęła strategię.,ADMINISTRACJA
Sejm odrzucił wniosek o wotum nieufności.,POLITYKA
Festiwal przyciągnął tysiące widzów.,KULTURA
Lekarz przepisał nowe leczenie.,MEDYCYNA
Laboratorium przetestowało nowy lek.,NAUKA
Pływak zdobył złoty medal olimpijski.,SPORT
Komitet przyznał dotację.,ADMINISTRACJA
Miasto tworzy korytarze ekologiczne.,EKOLOGIA
Badacze odkryli nową metodę syntezy.,NAUKA
Grad zniszczył uprawy rolników.,KLĘSKA_ŻYWIOŁOWA
Inwestor buduje kompleks sportowy.,INFRASTRUKTURA
Protest ekologów zablokował kopalnię.,PROTESTY
Szkoła uruchomiła program stypendialny.,EDUKACJA
Szkoła zorganizowała wyjazd edukacyjny.,EDUKACJA
W kuchni pachnie kawa.,BRAK_ZDARZENIA
Uczeń zdobył stypendium naukowe.,EDUKACJA
Płomienie objęły zakład produkcyjny.,POŻAR
Giełda zamknęła tydzień ze spadkami.,EKONOMIA
Prezydent ułaskawił skazanych więźniów.,POLITYKA
Gmina buduje ścieżki rowerowe.,INFRASTRUKTURA
Koszykarz zdobył 30 punktów w meczu.,SPORT
Szkoła zakupiła tablice interaktywne.,EDUKACJA
Firma zaprezentowała nowy smartfon.,TECHNOLOGIA
Artysta otworzył wystawę w galerii.,KULTURA
Dzisiaj jest piękna pogoda.,BRAK_ZDARZENIA
Społeczność lokalna tworzy kooperatywę.,SPOŁECZEŃSTWO
Gmina modernizuje oczyszczalnię ścieków.,INFRASTRUKTURA
Płonący budynek zagrażał sąsiednim domom.,POŻAR
Koncern wprowadził na rynek nowy procesor.,TECHNOLOGIA
Festiwal jazzowy zgromadził muzyków.,KULTURA
Dzieci rozpoczęły rok szkolny.,EDUKACJA
Płomienie strawiły zabytkowy kościół.,POŻAR
Eksperymenty potwierdziły teorię.,NAUKA
Aktywiści protestują przeciwko wycince lasu.,EKOLOGIA
Służby specjalne zatrzymały terrorystę.,BEZPIECZEŃSTWO
Pożar objął dom jednorodzinny.,POŻAR
Rząd zapowiedział obniżkę podatków.,EKONOMIA
Ekologowie monitorują populację zwierząt.,EKOLOGIA
Drużyna awansowała do półfinału.,SPORT
Prawnik bronił swojego klienta.,PRAWO
W pokoju jest przyjemna temperatura.,BRAK_ZDARZENIA
Rada miejska uchwaliła plan zagospodarowania.,ADMINISTRACJA
Grad zniszczył uprawy.,KLĘSKA_ŻYWIOŁOWA
Koncert zgromadził tysiące fanów.,KULTURA
Pożar strawił las iglasty.,POŻAR
Pożar wybuchł w centrum handlowym.,POŻAR
Miasto rozbudowuje sieć tramwajową.,INFRASTRUKTURA
Strajk sparaliżował komunikację miejską.,PROTESTY
Turystę ugryzł dziki pies.,WYPADEK
Koalicja uzgodniła kompromis w sprawie budżetu.,POLITYKA
Kampania społeczna zwiększyła świadomość.,SPOŁECZEŃSTWO
Grad zniszczył sady owocowe.,KLĘSKA_ŻYWIOŁOWA
Ekologowie protestują przeciw wycince drzew.,PROTESTY
Minister przedstawił projekt ustawy.,POLITYKA
Reprezentacja zakwalifikowała się do mundialu.,SPORT
Koszykarka zdobyła double-double.,SPORT
Obywatele tworzą inicjatywę sąsiedzką.,SPOŁECZEŃSTWO
Samochód dostawczy zjechał z jezdni.,WYPADEK
Miasto inwestuje w energię odnawialną.,EKOLOGIA
Uniwersytet organizuje szkolenia dla nauczycieli.,EDUKACJA
Linia wysokiego napięcia została uszkodzona.,INFRASTRUKTURA
Kwiat ma czerwone płatki.,BRAK_ZDARZENIA
Ekologowie badają skutki zmian klimatu.,EKOLOGIA
Sejm uchwalił ustawę o ochronie środowiska.,POLITYKA
Droga prowadzi do lasu.,BRAK_ZDARZENIA
Park ma plac zabaw dla dzieci.,BRAK_ZDARZENIA
Reprezentacja zremisowała z rywalem.,SPORT
W parku jest wiele alejek.,BRAK_ZDARZENIA
Policja zabezpieczyła imprezę masową.,BEZPIECZEŃSTWO
Uniwersytet otrzymał grant na badania.,NAUKA
Pożar gasiło 10 zastępów strażackich.,POŻAR
Spółka wypłaciła dywidendę akcjonariuszom.,EKONOMIA
Działacze chronią zagrożone gatunki.,EKOLOGIA
Tłum domagał się dymisji ministra.,PROTESTY
Sędzia uniewinnił oskarżonego.,PRAWO
Pacjent wybudził się ze śpiączki.,MEDYCYNA
Zespół naukowy otrzymał nagrodę.,NAUKA
Kibice wtargnęli na boisko.,PRZESTĘPSTWO
Burmistrz podpisał umowę z wykonawcą.,ADMINISTRACJA
Robot przejął pracę na linii produkcyjnej.,TECHNOLOGIA
Gmina rozbudowała sieć wodociągową.,ADMINISTRACJA
W porcie stoją statki.,BRAK_ZDARZENIA
Sklep spożywczy jest przy rynku.,BRAK_ZDARZENIA
Urząd wojewódzki zatwierdził projekt.,ADMINISTRACJA
Badacze zmapowali strukturę białka.,NAUKA
Giełda odnotowała rekordowe wolumeny.,EKONOMIA
Organizacja chroni dziki puszczy.,EKOLOGIA
Spółka wypuściła nowe akcje na giełdę.,EKONOMIA
Drużyna awansowała do finału mistrzostw.,SPORT
Parlament debatował nad zmianami w konstytucji.,POLITYKA
Ogień zniszczył domek letniskowy.,POŻAR
Organizacja sadzi las kompensacyjny.,EKOLOGIA
Samorząd zrealizował projekt unijny.,ADMINISTRACJA
Miasto tworzy tereny zielone.,EKOLOGIA
Fundacja wspiera osoby niepełnosprawne.,SPOŁECZEŃSTWO
